timestamp,symbol,total_value,cash_balance,position_value,current_price
2026-05-15T12:15:37.551735,SOL/USD,300.0,300,0.0,89.67
2026-05-15T12:20:41.912227,BTC/USD,691.37,691.37,0.0,79251.58
2026-05-15T12:20:42.093107,SOL/USD,300.0,300,0.0,89.63
2026-05-15T12:25:46.503307,BTC/USD,691.37,691.37,0.0,79322.58
2026-05-15T12:25:46.735491,SOL/USD,300.0,300,0.0,89.79
2026-05-15T12:30:51.218389,BTC/USD,691.37,691.37,0.0,79326.58
2026-05-15T12:30:51.667185,SOL/USD,300.0,300,0.0,89.75
2026-05-15T12:35:56.401244,BTC/USD,691.37,691.37,0.0,79426.07
2026-05-15T12:35:56.646947,SOL/USD,300.0,300,0.0,89.76
2026-05-15T12:41:01.292168,BTC/USD,691.37,691.37,0.0,79410.54
2026-05-15T12:41:01.509030,SOL/USD,300.0,300,0.0,89.76
2026-05-15T12:42:33.017635,BTC/USD,691.37,691.37,0.0,79359.19
2026-05-15T12:42:33.215957,SOL/USD,300.0,300,0.0,89.66
2026-05-15T12:46:06.707626,BTC/USD,691.37,691.37,0.0,79375.69
2026-05-15T12:46:06.948102,SOL/USD,300.0,300,0.0,89.69
2026-05-15T12:47:37.744241,BTC/USD,691.37,691.37,0.0,79345.64
2026-05-15T12:47:38.047986,SOL/USD,300.0,300,0.0,89.59
2026-05-15T12:51:11.708646,BTC/USD,691.37,691.37,0.0,79401.29
2026-05-15T12:51:11.967898,SOL/USD,300.0,300,0.0,89.66
2026-05-15T12:52:42.384163,BTC/USD,691.37,691.37,0.0,79353.89
2026-05-15T12:52:42.610548,SOL/USD,300.0,300,0.0,89.58
2026-05-15T12:56:16.679489,BTC/USD,691.37,691.37,0.0,79433.89
2026-05-15T12:56:16.877845,SOL/USD,300.0,300,0.0,89.73
2026-05-15T12:57:46.994494,BTC/USD,691.37,691.37,0.0,79391.42
2026-05-15T12:57:47.173053,SOL/USD,300.0,300,0.0,89.69
2026-05-15T13:01:21.548541,BTC/USD,691.37,691.37,0.0,79476.69
2026-05-15T13:01:21.826233,SOL/USD,300.0,300,0.0,89.92
2026-05-15T13:02:51.686367,BTC/USD,691.37,691.37,0.0,79505.17
2026-05-15T13:02:52.006821,SOL/USD,300.0,300,0.0,89.97
2026-05-15T13:06:26.118519,BTC/USD,691.37,691.37,0.0,79421.5
2026-05-15T13:06:26.346305,SOL/USD,300.0,300,0.0,89.84
2026-05-15T13:07:56.404912,BTC/USD,691.37,691.37,0.0,79430.13
2026-05-15T13:07:56.607974,SOL/USD,300.0,300,0.0,89.84
2026-05-15T13:11:31.476353,BTC/USD,691.37,691.37,0.0,79432.98
2026-05-15T13:11:31.822022,SOL/USD,300.0,300,0.0,89.88
2026-05-15T13:13:01.917861,BTC/USD,691.37,691.37,0.0,79490.15
2026-05-15T13:13:02.069377,SOL/USD,300.0,300,0.0,89.95
2026-05-15T13:16:36.306388,BTC/USD,691.37,691.37,0.0,79390.34
2026-05-15T13:16:36.562454,SOL/USD,300.0,300,0.0,89.87
2026-05-15T13:18:06.832095,BTC/USD,691.37,691.37,0.0,79324.28
2026-05-15T13:18:07.097379,SOL/USD,300.0,300,0.0,89.78
2026-05-15T13:19:37.287373,BTC/USD,691.37,691.37,0.0,79219.33
2026-05-15T13:19:37.644721,SOL/USD,300.0,300,0.0,89.65
2026-05-15T13:24:41.766210,BTC/USD,691.37,691.37,0.0,79299.16
2026-05-15T13:24:41.979059,SOL/USD,300.0,300,0.0,89.81
2026-05-15T13:29:46.408053,BTC/USD,691.37,691.37,0.0,79236.64
2026-05-15T13:29:46.686751,SOL/USD,300.0,300,0.0,89.68
2026-05-15T13:34:51.531584,BTC/USD,691.37,691.37,0.0,79188.07
2026-05-15T13:34:51.830053,SOL/USD,300.0,300,0.0,89.59
2026-05-15T13:39:56.463626,BTC/USD,691.37,691.37,0.0,79202.2
2026-05-15T13:39:56.665288,SOL/USD,300.0,300,0.0,89.71
2026-05-15T13:45:01.218908,BTC/USD,691.37,691.37,0.0,79244.27
2026-05-15T13:45:01.448925,SOL/USD,300.0,300,0.0,89.83
2026-05-15T13:50:06.408598,BTC/USD,691.37,691.37,0.0,79233.58
2026-05-15T13:50:06.696177,SOL/USD,300.0,300,0.0,89.83
2026-05-15T13:55:10.972161,BTC/USD,691.37,691.37,0.0,79241.67
2026-05-15T13:55:11.177975,SOL/USD,300.0,300,0.0,89.84
2026-05-15T14:00:15.518832,BTC/USD,691.37,691.37,0.0,79247.52
2026-05-15T14:00:15.770365,SOL/USD,300.0,300,0.0,89.75
2026-05-15T16:53:24.906304,BTC/USD,691.37,691.37,0.0,79030.29
2026-05-15T16:53:25.158765,SOL/USD,300.0,300,0.0,89.13
2026-05-15T16:58:29.443254,BTC/USD,691.37,691.37,0.0,78925.99
2026-05-15T16:58:29.695605,SOL/USD,300.0,300,0.0,88.98
2026-05-15T17:03:33.990688,BTC/USD,691.37,691.37,0.0,78986.11
2026-05-15T17:03:34.203215,SOL/USD,300.0,300,0.0,89.11
2026-05-15T17:08:38.576193,BTC/USD,691.37,691.37,0.0,79014.56
2026-05-15T17:08:38.817124,SOL/USD,300.0,300,0.0,89.19
2026-05-15T17:13:43.093135,BTC/USD,691.37,691.37,0.0,79024.89
2026-05-15T17:13:43.302335,SOL/USD,300.0,300,0.0,89.18
2026-05-15T17:18:47.381198,BTC/USD,691.37,691.37,0.0,79029.99
2026-05-15T17:18:47.595710,SOL/USD,300.0,300,0.0,89.18
2026-05-15T17:23:51.839321,BTC/USD,691.37,691.37,0.0,79030.35
2026-05-15T17:23:52.002460,SOL/USD,300.0,300,0.0,89.21
2026-05-15T17:28:56.291740,BTC/USD,691.37,691.37,0.0,78994.0
2026-05-15T17:28:56.601115,SOL/USD,300.0,300,0.0,89.13
2026-05-15T17:34:00.787711,BTC/USD,691.37,691.37,0.0,79039.62
2026-05-15T17:34:01.003356,SOL/USD,300.0,300,0.0,89.2
2026-05-15T17:39:05.192687,BTC/USD,691.37,691.37,0.0,79083.66
2026-05-15T17:39:05.398812,SOL/USD,300.0,300,0.0,89.17
2026-05-15T17:44:09.726253,BTC/USD,691.37,691.37,0.0,79108.09
2026-05-15T17:44:09.957848,SOL/USD,300.0,300,0.0,89.22
2026-05-15T17:49:14.311508,BTC/USD,691.37,691.37,0.0,79101.36
2026-05-15T17:49:14.553299,SOL/USD,300.0,300,0.0,89.25
2026-05-15T17:54:18.760363,BTC/USD,691.37,691.37,0.0,79046.06
2026-05-15T17:54:19.000502,SOL/USD,300.0,300,0.0,89.22
2026-05-15T17:59:23.425774,BTC/USD,691.37,691.37,0.0,79073.2
2026-05-15T17:59:23.654623,SOL/USD,300.0,300,0.0,89.28
2026-05-15T18:04:27.966845,BTC/USD,691.37,691.37,0.0,79102.71
2026-05-15T18:04:28.160140,SOL/USD,300.0,300,0.0,89.32
2026-05-15T18:09:32.270806,BTC/USD,691.37,691.37,0.0,79065.03
2026-05-15T18:09:32.502810,SOL/USD,300.0,300,0.0,89.27
2026-05-15T18:14:36.900643,BTC/USD,691.37,691.37,0.0,79065.73
2026-05-15T18:14:37.130574,SOL/USD,300.0,300,0.0,89.23
2026-05-15T18:19:41.358712,BTC/USD,691.37,691.37,0.0,79069.17
2026-05-15T18:19:41.584503,SOL/USD,300.0,300,0.0,89.28
2026-05-15T18:24:46.104033,BTC/USD,691.37,691.37,0.0,79072.62
2026-05-15T18:24:46.423555,SOL/USD,300.0,300,0.0,89.25
2026-05-15T18:29:50.947059,BTC/USD,691.37,691.37,0.0,79060.02
2026-05-15T18:29:51.196821,SOL/USD,300.0,300,0.0,89.23
2026-05-15T18:34:55.483685,BTC/USD,691.37,691.37,0.0,79049.23
2026-05-15T18:34:55.695543,SOL/USD,300.0,300,0.0,89.21
2026-05-15T18:39:59.849871,BTC/USD,691.37,691.37,0.0,79053.65
2026-05-15T18:40:00.084885,SOL/USD,300.0,300,0.0,89.24
2026-05-15T18:45:04.825432,BTC/USD,691.37,691.37,0.0,79080.02
2026-05-15T18:45:05.127699,SOL/USD,300.0,300,0.0,89.27
2026-05-15T18:50:09.658944,BTC/USD,691.37,691.37,0.0,79070.03
2026-05-15T18:50:10.062342,SOL/USD,300.0,300,0.0,89.23
2026-05-15T18:55:14.633236,BTC/USD,691.37,691.37,0.0,79066.81
2026-05-15T18:55:14.864452,SOL/USD,300.0,300,0.0,89.2
2026-05-15T19:00:19.413557,BTC/USD,691.37,691.37,0.0,79046.01
2026-05-15T19:00:19.648828,SOL/USD,300.0,300,0.0,89.16
2026-05-15T19:05:23.890891,BTC/USD,691.37,691.37,0.0,79077.17
2026-05-15T19:05:24.111554,SOL/USD,300.0,300,0.0,89.21
2026-05-15T19:10:28.422083,BTC/USD,691.37,691.37,0.0,79105.4
2026-05-15T19:10:28.615848,SOL/USD,300.0,300,0.0,89.27
2026-05-15T19:15:33.371547,BTC/USD,691.37,691.37,0.0,79116.11
2026-05-15T19:15:33.674817,SOL/USD,300.0,300,0.0,89.34
2026-05-15T19:20:38.242178,BTC/USD,691.37,691.37,0.0,79126.38
2026-05-15T19:20:38.561142,SOL/USD,300.0,300,0.0,89.27
2026-05-15T19:25:42.910486,BTC/USD,691.37,691.37,0.0,79122.95
2026-05-15T19:25:43.067879,SOL/USD,300.0,300,0.0,89.32
2026-05-15T19:30:47.592830,BTC/USD,691.37,691.37,0.0,79127.79
2026-05-15T19:30:47.865985,SOL/USD,300.0,300,0.0,89.26
2026-05-15T19:35:52.484678,BTC/USD,691.37,691.37,0.0,79104.24
2026-05-15T19:35:52.705731,SOL/USD,300.0,300,0.0,89.22
2026-05-15T19:40:57.387042,BTC/USD,691.37,691.37,0.0,79163.53
2026-05-15T19:40:57.698620,SOL/USD,300.0,300,0.0,89.31
2026-05-15T19:46:02.426420,BTC/USD,691.37,691.37,0.0,79109.7
2026-05-15T19:46:02.791614,SOL/USD,300.0,300,0.0,89.23
2026-05-15T19:51:07.480180,BTC/USD,691.37,691.37,0.0,79065.18
2026-05-15T19:51:07.713913,SOL/USD,300.0,300,0.0,89.21
2026-05-15T19:56:12.463616,BTC/USD,691.37,691.37,0.0,79050.91
2026-05-15T19:56:12.754507,SOL/USD,300.0,300,0.0,89.19
2026-05-15T20:01:17.590520,BTC/USD,691.37,691.37,0.0,79068.87
2026-05-15T20:01:17.871851,SOL/USD,300.0,300,0.0,89.18
2026-05-15T20:06:22.614176,BTC/USD,691.37,691.37,0.0,79073.07
2026-05-15T20:06:22.849911,SOL/USD,300.0,300,0.0,89.17
2026-05-15T20:11:27.321211,BTC/USD,691.37,691.37,0.0,79060.97
2026-05-15T20:11:27.577548,SOL/USD,300.0,300,0.0,89.15
2026-05-15T20:16:32.225759,BTC/USD,691.37,691.37,0.0,79075.64
2026-05-15T20:16:32.481637,SOL/USD,300.0,300,0.0,89.18
2026-05-15T20:21:37.111792,BTC/USD,691.37,691.37,0.0,79097.0
2026-05-15T20:21:37.365090,SOL/USD,300.0,300,0.0,89.2
2026-05-15T20:26:42.400629,BTC/USD,691.37,691.37,0.0,79049.12
2026-05-15T20:26:42.736229,SOL/USD,300.0,300,0.0,89.09
2026-05-15T20:31:47.343317,BTC/USD,691.37,691.37,0.0,79018.19
2026-05-15T20:31:47.617375,SOL/USD,300.0,300,0.0,89.02
2026-05-15T20:36:52.213003,BTC/USD,691.37,691.37,0.0,78996.86
2026-05-15T20:36:52.441051,SOL/USD,300.0,300,0.0,89.01
2026-05-15T20:41:57.093550,BTC/USD,691.37,691.37,0.0,78984.01
2026-05-15T20:41:57.311809,SOL/USD,300.0,300,0.0,88.93
2026-05-15T20:47:01.813320,BTC/USD,691.37,691.37,0.0,79037.09
2026-05-15T20:47:02.010522,SOL/USD,300.0,300,0.0,89.09
2026-05-15T20:52:06.692084,BTC/USD,691.37,691.37,0.0,79045.55
2026-05-15T20:52:07.028721,SOL/USD,300.0,300,0.0,89.11
2026-05-15T20:57:11.500534,BTC/USD,691.37,691.37,0.0,79107.71
2026-05-15T20:57:11.742031,SOL/USD,300.0,300,0.0,89.23
2026-05-15T21:02:16.223652,BTC/USD,691.37,691.37,0.0,79093.25
2026-05-15T21:02:16.441886,SOL/USD,300.0,300,0.0,89.26
2026-05-15T21:07:20.709126,BTC/USD,691.37,691.37,0.0,79139.98
2026-05-15T21:07:20.919078,SOL/USD,300.0,300,0.0,89.24
2026-05-15T21:12:25.232645,BTC/USD,691.37,691.37,0.0,79126.01
2026-05-15T21:12:25.476610,SOL/USD,300.0,300,0.0,89.23
2026-05-15T21:17:29.831485,BTC/USD,691.37,691.37,0.0,79118.77
2026-05-15T21:17:30.028628,SOL/USD,300.0,300,0.0,89.19
2026-05-15T21:22:34.197923,BTC/USD,691.37,691.37,0.0,79113.26
2026-05-15T21:22:34.451665,SOL/USD,300.0,300,0.0,89.16
2026-05-15T21:27:38.571607,BTC/USD,691.37,691.37,0.0,79134.41
2026-05-15T21:27:38.746420,SOL/USD,300.0,300,0.0,89.13
2026-05-15T21:32:43.289283,BTC/USD,691.37,691.37,0.0,79082.43
2026-05-15T21:32:43.525079,SOL/USD,300.0,300,0.0,89.02
2026-05-15T21:37:47.818796,BTC/USD,691.37,691.37,0.0,79044.63
2026-05-15T21:37:48.038745,SOL/USD,300.0,300,0.0,89.0
2026-05-15T21:42:52.298926,BTC/USD,691.37,691.37,0.0,79049.15
2026-05-15T21:42:52.539258,SOL/USD,300.0,300,0.0,89.02
2026-05-15T21:47:56.812471,BTC/USD,691.37,691.37,0.0,79044.97
2026-05-15T21:47:57.034412,SOL/USD,300.0,300,0.0,89.02
2026-05-15T21:53:01.204146,BTC/USD,691.37,691.37,0.0,79044.24
2026-05-15T21:53:01.388898,SOL/USD,300.0,300,0.0,89.03
2026-05-15T21:58:05.674715,BTC/USD,691.37,691.37,0.0,79053.13
2026-05-15T21:58:05.914088,SOL/USD,300.0,300,0.0,89.07
2026-05-15T22:03:10.310300,BTC/USD,691.37,691.37,0.0,79106.14
2026-05-15T22:03:10.511980,SOL/USD,300.0,300,0.0,89.15
2026-05-15T22:08:14.915237,BTC/USD,691.37,691.37,0.0,79112.0
2026-05-15T22:08:15.152027,SOL/USD,300.0,300,0.0,89.19
2026-05-15T22:13:19.494895,BTC/USD,691.37,691.37,0.0,79121.31
2026-05-15T22:13:19.702258,SOL/USD,300.0,300,0.0,89.18
2026-05-15T22:18:23.815337,BTC/USD,691.37,691.37,0.0,79113.93
2026-05-15T22:18:24.018280,SOL/USD,300.0,300,0.0,89.17
2026-05-15T22:23:28.122521,BTC/USD,691.37,691.37,0.0,79138.01
2026-05-15T22:23:28.338871,SOL/USD,300.0,300,0.0,89.21
2026-05-15T22:28:32.631069,BTC/USD,691.37,691.37,0.0,79132.07
2026-05-15T22:28:32.850383,SOL/USD,300.0,300,0.0,89.18
2026-05-15T22:33:37.071013,BTC/USD,691.37,691.37,0.0,79105.11
2026-05-15T22:33:37.343025,SOL/USD,300.0,300,0.0,89.13
2026-05-15T22:38:42.429443,BTC/USD,691.37,691.37,0.0,79098.17
2026-05-15T22:38:42.643726,SOL/USD,300.0,300,0.0,89.14
2026-05-15T22:43:47.003504,BTC/USD,691.37,691.37,0.0,79053.16
2026-05-15T22:43:47.236162,SOL/USD,300.0,300,0.0,89.04
2026-05-15T22:48:52.047723,BTC/USD,691.37,691.37,0.0,79033.7
2026-05-15T22:48:52.250216,SOL/USD,300.0,300,0.0,89.02
2026-05-15T22:53:41.273931,BTC/USD,691.37,691.37,0.0,79009.03
2026-05-15T22:53:41.463862,SOL/USD,300.0,300,0.0,88.97
2026-05-15T22:58:45.895697,BTC/USD,691.37,691.37,0.0,79053.14
2026-05-15T22:58:46.146738,SOL/USD,300.0,300,0.0,89.0
2026-05-15T22:59:01.017355,BTC/USD,691.37,691.37,0.0,79045.12
2026-05-15T22:59:01.282615,SOL/USD,300.0,300,0.0,88.97
2026-05-15T22:59:23.672480,BTC/USD,691.37,691.37,0.0,79045.12
2026-05-15T22:59:23.881077,SOL/USD,300.0,300,0.0,89.0
2026-05-15T23:00:29.517682,BTC/USD,691.37,691.37,0.0,79035.98
2026-05-15T23:00:29.787830,SOL/USD,300.0,300,0.0,88.99
2026-05-15T23:02:29.120706,BTC/USD,691.37,691.37,0.0,78993.55
2026-05-15T23:02:29.355900,SOL/USD,300.0,300,0.0,88.89
2026-05-16T06:55:52.068655,BTC/USD,691.37,691.37,0.0,78067.18
2026-05-16T06:55:52.257148,SOL/USD,300.0,300,0.0,86.11
2026-05-16T07:48:57.804876,BTC/USD,691.37,691.37,0.0,78064.11
2026-05-16T07:48:58.115478,SOL/USD,300.0,300,0.0,86.39
2026-05-16T08:37:19.156825,BTC/USD,691.37,691.37,0.0,77799.98
2026-05-16T08:37:19.377844,SOL/USD,300.0,300,0.0,86.12
